participantId,participantNumber,gameId,name,totalTrials,finalScore,hit,correct_rejection,false_alarm,bad_hit,miss,mean_rt_hit_ms,median_rt_hit_ms,sd_rt_hit_ms,mean_rt_bad_hit_ms,median_rt_bad_hit_ms,sd_rt_bad_hit_ms,mean_rt_false_alarm_ms,median_rt_false_alarm_ms,sd_rt_false_alarm_ms,bad_hit_rate,correct_hit_rate,false_alarm_rate,sdt_z_hit,sdt_z_false_alarm,dprime,z_correct_hit_rate,z_bad_hit_rate,z_false_alarm_rate,emotions_observed,congruent_ratio
7016G,7016,4d6f3a71-377e-4c08-8380-d5adf2152aa5,TagMeAgainMedium,11,3.0,1,5,2,1,2,406.0,406.0,,598.0,598.0,,824.0,824.0,57.982756057296896,0.09090909090909091,0.3333333333333333,0.2857142857142857,-0.31863936396437514,-0.4887764111146694,0.17013704715029426,-2.0072349543559964,1.2489623720905803,-0.09964495419570595,,
7016H,7016,5d21593b-6e48-473f-9bbc-f9e466b1c888,TagMeAgainMedium,10,11.0,3,7,0,0,0,589.0,572.0,116.43453096053592,,,,,,,0.0,1.0,0.0,1.1503493803760079,-1.5341205443525459,2.6844699247285537,0.5750802388691912,-0.45190251503339046,-0.8336251592928606,,
7016X,7016,cb009123-3927-417f-95c3-6ebc28ca5a01,TagMeAgainMedium,35,29.0,9,21,2,3,0,536.2222222222222,517.0,92.63068845930296,739.0,796.0,149.8632710172843,746.5,746.5,168.99852070358486,0.08571428571428572,1.0,0.08695652173913043,1.6448536269514715,-1.2581615610630965,2.9030151880145683,0.5750802388691912,1.1517700928263535,-0.6102398794806831,,
7017H,7017,7d4bdb64-17e0-4841-8245-25ef55a74255,TagMeAgainMedium,11,2.0,1,5,2,1,2,343.0,343.0,,549.0,549.0,,481.5,481.5,185.969083452062,0.09090909090909091,0.3333333333333333,0.2857142857142857,-0.31863936396437514,-0.4887764111146694,0.17013704715029426,-2.0072349543559964,1.2489623720905803,-0.09964495419570595,,
7017M,7017,e8566804-40d9-4afb-a224-e02a25619bae,TagMeAgainMedium,32,16.0,8,15,8,0,1,543.375,544.5,47.5152231245043,,,,537.125,530.5,82.75512500314234,0.0,0.8888888888888888,0.34782608695652173,1.0364333894937894,-0.37409541019772347,1.4105287996915128,0.14469437333165983,-0.45190251503339046,0.059915959955849446,,
7018C,7018,2afbdc2b-97fa-4086-a666-105efb47f752,TagMeAgainMedium,11,7.0,3,6,1,1,0,626.0,547.0,163.50229356189473,955.0,955.0,,629.0,629.0,,0.09090909090909091,1.0,0.14285714285714285,1.1503493803760079,-0.8871465590188758,2.0374959393948835,0.5750802388691912,1.2489623720905803,-0.4666350567442833,,
7018J,7018,b8e08568-b4fb-4ec8-9ff8-7b2bc86348d1,TagMeAgainMedium,34,8.0,6,13,10,2,3,484.3333333333333,474.5,84.22034591870701,761.5,761.5,130.8147545195113,482.5,463.0,96.02922009009086,0.058823529411764705,0.6666666666666666,0.43478260869565216,0.3853204664075676,-0.15731068461017067,0.5426311510177383,-0.7160773577434025,0.6486571178115318,0.28330123976802696,,
7019C,7019,267518df-9e9a-435e-9993-1084d13214d5,TagMeAgainMedium,10,10.0,3,7,0,0,0,584.6666666666666,529.0,96.4174949546675,,,,,,,0.0,1.0,0.0,1.1503493803760079,-1.5341205443525459,2.6844699247285537,0.5750802388691912,-0.45190251503339046,-0.8336251592928606,,
7019L,7019,bd61f25e-bbe3-4c9f-98f2-fd368784d2a3,TagMeAgainMedium,32,32.0,8,22,1,0,1,562.75,512.0,118.07473420314295,,,,631.0,631.0,,0.0,0.8888888888888888,0.043478260869565216,1.0364333894937894,-1.5341205443525459,2.5705539338463352,0.14469437333165983,-0.45190251503339046,-0.7219325193867718,,
7020E,7020,3fae6d97-a803-4bed-99e9-4d9ee3defb65,TagMeAgainMedium,32,31.0,9,22,1,0,0,627.2222222222222,577.0,118.48394171551031,,,,496.0,496.0,,0.0,1.0,0.043478260869565216,1.6448536269514715,-1.5341205443525459,3.1789741713040174,0.5750802388691912,-0.45190251503339046,-0.7219325193867718,,
7020F,7020,48cfe4cd-1a80-4949-a1ee-c1693a6b44e7,TagMeAgainMedium,12,8.0,3,7,0,2,0,669.6666666666666,619.0,195.00085469898158,783.0,783.0,169.7056274847714,,,,0.16666666666666666,1.0,0.0,1.1503493803760079,-1.5341205443525459,2.6844699247285537,0.5750802388691912,2.666349778027222,-0.8336251592928606,,
7021C,7021,3ff7fdeb-9f07-4d09-9029-b40df5d8fb43,TagMeAgainMedium,32,24.0,8,20,3,0,1,751.75,766.0,124.79325760175163,,,,678.6666666666666,655.0,46.28534685333289,0.0,0.8888888888888888,0.13043478260869565,1.0364333894937894,-1.0544724517700528,2.090905841263842,0.14469437333165983,-0.45190251503339046,-0.49854723957459435,,
7021K,7021,cb92d714-e27b-4897-a01b-35aa94bafb10,TagMeAgainMedium,10,3.0,2,4,3,0,1,963.0,963.0,15.556349186104045,,,,574.3333333333334,577.0,222.01201168705563,0.0,0.6666666666666666,0.42857142857142855,0.31863936396437514,-0.15731068461017067,0.4759500485745458,-0.7160773577434025,-0.45190251503339046,0.2673451483528714,,
7022B,7022,5a1d5c05-099c-4fb1-9234-c8df6c2d5891,TagMeAgainMedium,11,7.0,2,7,0,1,1,704.0,704.0,149.90663761154806,757.0,757.0,,,,,0.09090909090909091,0.6666666666666666,0.0,0.31863936396437514,-1.5341205443525459,1.852759908316921,-0.7160773577434025,1.2489623720905803,-0.8336251592928606,,
7022H,7022,aec21f9a-90dd-4bab-98d9-f3e8db580324,TagMeAgainMedium,34,23.0,7,21,2,2,2,615.7142857142857,629.0,99.38764894042298,767.0,767.0,178.19090885900997,687.0,687.0,62.22539674441618,0.058823529411764705,0.7777777777777778,0.08695652173913043,0.6744897501960817,-1.2581615610630965,1.9326513112591783,-0.28569149220587114,0.6486571178115318,-0.6102398794806831,,
7023A,7023,0c219a88-bea3-4d13-8d9f-7d400cdb8601,TagMeAgainMedium,10,6.0,1,7,0,0,2,681.0,681.0,,,,,,,,0.0,0.3333333333333333,0.0,-0.31863936396437514,-1.5341205443525459,1.2154811803881707,-2.0072349543559964,-0.45190251503339046,-0.8336251592928606,,
7023C,7023,2f537ad7-2bdd-4268-aada-2074997b1daf,TagMeAgainMedium,36,10.0,6,17,6,4,3,756.8333333333334,789.5,175.0067617741288,737.0,750.5,178.11045262233583,659.0,663.5,103.70149468546728,0.1111111111111111,0.6666666666666666,0.2608695652173913,0.3853204664075676,-0.6102946101863328,0.9956150765939005,-0.7160773577434025,1.626932347007018,-0.16346931985632807,,
7024D,7024,3506933e-9bec-406e-97b1-5c9599488cb0,TagMeAgainMedium,35,23.0,8,18,5,3,1,557.625,474.5,230.35186594177426,623.6666666666666,659.0,64.69415223444337,486.4,503.0,62.84345630214811,0.08571428571428572,0.8888888888888888,0.21739130434782608,1.0364333894937894,-0.7415940438615165,1.7780274333553059,0.14469437333165983,1.1517700928263535,-0.2751619597624168,,
7024L,7024,ed609f40-5d2e-4679-a407-9e486c76fdbe,TagMeAgainMedium,11,5.0,1,7,0,1,2,564.0,564.0,,871.0,871.0,,,,,0.09090909090909091,0.3333333333333333,0.0,-0.31863936396437514,-1.5341205443525459,1.2154811803881707,-2.0072349543559964,1.2489623720905803,-0.8336251592928606,,
7025H,7025,96ec6120-7bce-47e5-ba95-fb0a0a3b2bc9,TagMeAgainMedium,11,4.0,1,6,1,1,2,429.0,429.0,,578.0,578.0,,530.0,530.0,,0.09090909090909091,0.3333333333333333,0.14285714285714285,-0.31863936396437514,-0.8871465590188758,0.5685071950545006,-2.0072349543559964,1.2489623720905803,-0.4666350567442833,,
7025L,7025,ee4b44ae-b614-41d6-9af4-6331d9074e2c,TagMeAgainMedium,33,27.0,9,20,3,1,0,673.8888888888889,693.0,149.22419747182798,859.0,859.0,,715.0,726.0,86.02906485601247,0.030303030303030304,1.0,0.13043478260869565,1.6448536269514715,-1.0544724517700528,2.6993260787215245,0.5750802388691912,0.11505244734126648,-0.49854723957459435,,
7026I,7026,4ab49452-1c5a-4786-883f-20b0aa9d3856,TagMeAgainMedium,32,18.0,8,17,6,0,1,698.25,704.5,95.17915438041793,,,,668.8333333333334,678.0,114.0551036414709,0.0,0.8888888888888888,0.2608695652173913,1.0364333894937894,-0.6102946101863328,1.646727999680122,0.14469437333165983,-0.45190251503339046,-0.16346931985632807,,
