participantId,participantNumber,gameId,name,totalTrials,finalScore,hit,correct_rejection,false_alarm,bad_hit,miss,mean_rt_hit_ms,median_rt_hit_ms,sd_rt_hit_ms,mean_rt_bad_hit_ms,median_rt_bad_hit_ms,sd_rt_bad_hit_ms,mean_rt_false_alarm_ms,median_rt_false_alarm_ms,sd_rt_false_alarm_ms,bad_hit_rate,correct_hit_rate,false_alarm_rate,sdt_z_hit,sdt_z_false_alarm,dprime,z_correct_hit_rate,z_bad_hit_rate,z_false_alarm_rate,emotions_observed,congruent_ratio
7111B,7111,3ddf001e-70f8-4efd-b677-51d96d9b4871,TagMeAgainHard,10,9.0,3,6,1,0,0,654.6666666666666,704.0,247.71219859613964,,,,812.0,812.0,,0.0,1.0,0.14285714285714285,1.1503493803760079,-0.8871465590188758,2.0374959393948835,0.5750802388691912,-0.45190251503339046,-0.4666350567442833,,
7111C,7111,4084497e-5468-429f-98cd-6afbe33566d4,TagMeAgainMedium,35,17.0,8,17,6,3,1,580.125,561.5,126.74320212821785,798.0,778.0,160.93476939431082,790.8333333333334,836.5,144.99298833621808,0.08571428571428572,0.8888888888888888,0.2608695652173913,1.0364333894937894,-0.6102946101863328,1.646727999680122,0.14469437333165983,1.1517700928263535,-0.16346931985632807,,
7111D,7111,4593869d-8775-49af-91cc-5bcfe9730aab,TagMeOnly,11,15.0,7,2,1,1,0,405.0,367.0,120.65791865158845,306.0,306.0,,329.0,329.0,,0.09090909090909091,1.0,0.3333333333333333,1.5341205443525459,-0.31863936396437514,1.852759908316921,0.5750802388691912,1.2489623720905803,0.02268507998715317,,
7111E,7111,6d8cd3e1-0f8e-4b7e-a0f9-1654cc97b0b7,TagMeAgainMedium,11,8.0,3,6,1,1,0,555.0,514.0,132.3518039166826,536.0,536.0,,527.0,527.0,,0.09090909090909091,1.0,0.14285714285714285,1.1503493803760079,-0.8871465590188758,2.0374959393948835,0.5750802388691912,1.2489623720905803,-0.4666350567442833,,
7111F,7111,6d93ed2a-1eca-4d00-b131-b8b202edc519,TagMeBigger,30,55.0,29,0,1,0,0,421.8965517241379,400.0,79.90500825872924,,,,311.0,311.0,,0.0,1.0,1.0,2.128045234184984,0.6744897501960817,1.4535554839889024,0.5750802388691912,-0.45190251503339046,1.735305558547181,,1.0
7111G,7111,6f355cb2-4aea-4986-986d-56f8952c0c81,TagMeSwitch,50,78.0,34,0,16,0,0,268.3529411764706,237.0,176.63245220770028,,,,391.0625,376.5,205.8900900156845,0.0,1.0,1.0,2.1893497555220858,1.8895099603334296,0.2998397951886562,0.5750802388691912,-0.45190251503339046,1.735305558547181,,
7111H,7111,70b78c83-b3a7-47fb-851d-98cbb28fa411,TagMeOnly,30,60.0,21,8,1,0,0,344.3809523809524,331.0,79.13373249789005,,,,323.0,323.0,,0.0,1.0,0.1111111111111111,2.00042356910598,-1.0364333894937894,3.0368569585997696,0.5750802388691912,-0.45190251503339046,-0.5481884128661894,,
7111I,7111,768c729f-4262-4b55-ba19-4d5774bce903,TagMeQuick,33,77.0,30,0,0,3,0,320.9,315.0,56.41065563318262,302.3333333333333,310.0,29.26317367158479,,,,0.09090909090909091,1.0,,2.1411981209720183,,,0.5750802388691912,1.2489623720905803,,,
7111J,7111,7ef7f0bf-5ca2-42ad-b730-50ac05aec983,TagMeAgainMedium,33,28.0,8,22,1,1,1,702.625,685.0,212.408593786329,757.0,757.0,,517.0,517.0,,0.030303030303030304,0.8888888888888888,0.043478260869565216,1.0364333894937894,-1.5341205443525459,2.5705539338463352,0.14469437333165983,0.11505244734126648,-0.7219325193867718,,
7111K,7111,b185b860-c1e4-45fa-956e-07e0e9f58bb8,TagMeQuick,14,20.0,10,0,0,4,0,348.9,348.5,87.92730583334799,363.75,354.5,79.04587275753238,,,,0.2857142857142857,1.0,,1.6906216295848984,,,0.5750802388691912,4.893672844499089,,,
